id_assessment,id_student,date_submitted,is_banked,score
24291,23698,29,0,94
24291,27116,31,0,90
24291,28952,32,0,52
24291,29411,51,0,14
24291,29639,32,0,90
24291,30096,10,0,94
24291,30850,25,0,100
24291,31161,19,0,92
24291,34068,40,0,86
24291,35355,31,0,72
24291,42746,30,0,98
24291,46705,32,0,100
24291,51576,28,0,96
24291,53300,31,0,94
24291,54062,32,0,50
24291,60809,32,0,100
24291,63371,31,0,94
24291,69494,45,0,62
24291,70495,29,0,96
24291,71723,37,0,76
24291,72609,32,0,84
24291,76949,29,0,94
24291,80329,32,0,74
24291,80491,32,0,86
24291,94978,32,0,64
24291,96874,32,0,92
24291,102209,32,0,56
24291,105413,31,0,96
24291,107883,31,0,98
24291,109577,33,0,76
24291,112454,32,0,98
24291,114367,33,0,92
24291,120236,32,0,52
24291,125777,31,0,98
24291,126812,31,0,48
24291,128510,-1,1,90
24291,131222,31,0,90
24291,132423,32,0,90
24291,136335,32,0,84
24291,138861,31,0,98
24291,144745,29,0,86
24291,155298,31,0,84
24291,161781,36,0,56
24291,164968,32,0,82
24291,165647,-1,1,80
24291,169297,39,0,60
24291,170030,32,0,98
24291,171896,34,0,42
24291,175638,38,0,58
24291,178072,-1,1,84
24291,182854,32,0,82
24291,185127,32,0,86
24291,188251,39,0,54
24291,188273,29,0,90
24291,188662,32,0,88
24291,199261,29,0,94
24291,199361,32,0,96
24291,199760,32,0,50
24291,200372,29,0,98
24291,201425,25,0,96
24291,232072,32,0,56
24291,233444,-1,1,78
24291,238255,54,0,58
24291,240486,32,0,62
24291,242778,32,0,46
24291,243358,32,0,76
24291,244738,31,0,98
24291,245217,32,0,70
24291,245600,31,0,98
24291,247304,32,0,86
24291,253496,32,0,58
24291,256680,31,0,98
24291,256867,39,0,98
24291,257887,35,0,96
24291,259641,31,0,98
24291,261160,32,0,76
24291,262385,32,0,86
24291,264151,31,0,92
24291,264845,30,0,30
24291,267619,42,0,78
24291,269388,35,0,90
24291,275297,30,0,92
24291,275711,31,0,70
24291,279879,38,0,60
24291,284095,31,0,92
24291,285637,32,0,44
24291,286658,28,0,90
24291,291156,32,0,66
24291,291674,32,0,90
24291,293162,32,0,84
24291,293686,31,0,92
24291,294112,32,0,88
24291,296725,31,0,90
24291,297166,32,0,34
24291,303218,31,0,100
24291,305036,39,0,50
24291,306202,46,0,58
24291,307297,32,0,54
24291,308953,43,0,44
24291,310280,34,0,74
24291,310765,25,0,96
24291,311862,32,0,90
24291,314956,32,0,72
24291,316091,46,0,82
24291,317801,32,0,58
24291,319492,30,0,58
24291,320153,-1,1,94
24291,322844,39,0,38
24291,322907,31,0,90
24291,324338,32,0,88
24291,327057,29,0,98
24291,330453,26,0,100
24291,330966,30,0,84
24291,332436,28,0,84
24291,334154,53,0,70
24291,334225,36,0,86
24291,335405,16,0,100
24291,336014,30,0,88
24291,336695,-1,1,68
24291,336772,31,0,98
24291,338983,32,0,84
24291,339235,30,0,96
24291,339824,32,0,72
24291,342799,32,0,84
24291,347809,30,0,96
24291,348351,32,0,54
24291,348783,30,0,100
24291,348855,31,0,96
24291,350267,32,0,84
